"Language","ISO_code","Phoible_code","Meaning","Form","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","revision"
"Inari Sami","smn",NA,"smooth","ʃolbɐd","yes","CLICS",69.42,27.87,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Skolt Sami","sms",NA,"smooth","laːtːʲɛs","yes","CLICS",68.83,29.72,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Kildin Sami","sjd",NA,"smooth","laːtʲeɕ","yes","CLICS",68.22,35.83,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Kildin Sami","sjd",NA,"smooth","ɲoːʎːkeɕ","yes","CLICS",68.22,35.83,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Hill Mari","mrj",NA,"smooth","jaɣəlɣə","yes","CLICS",56.33,46.33,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Moksha","mdf",NA,"smooth","vadʲav","yes","CLICS",54.19,42.67,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Moksha","mdf",NA,"smooth","takor","yes","CLICS",54.19,42.67,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",TRUE,FALSE,"trilled"
"Udmurt","udm","udm","smooth","ɡɨlɨt","yes","CLICS",56.13,52.64,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,NA,FALSE,TRUE,"trilled"
"Udmurt","udm","udm","smooth","volʲɨt","yes","CLICS",56.13,52.64,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,NA,FALSE,TRUE,"trilled"
"Komi-Permyak","koi",NA,"smooth","voʎkɨt","yes","CLICS",59.66,54.8,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"NA"
"Forest Enets","enf",NA,"smooth","saɫɨta","yes","CLICS",69.98,88.21,"Uralic","Samoyedic","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Nganasan","nio","nio","smooth","nəməɡəː","yes","CLICS",73.14,86.21,"Uralic","Samoyedic","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Bengali","ben","ben","smooth","mɔʃrin","no","CLICS",24,90,"Indo-European","Indo-Iranian","Indic","S/SE Asia",-6.9,FALSE,"no trill",TRUE,FALSE,NA
"Breton","bre","bre","smooth","lint","yes","CLICS",48.25,-3.79,"Indo-European","Italic-Celtic","Europe","W and SW Eurasia",-6.9,FALSE,"no rhotic",FALSE,TRUE,NA
"Breton","bre","bre","smooth","lɛvn","yes","CLICS",48.25,-3.79,"Indo-European","Italic-Celtic","Europe","W and SW Eurasia",-6.9,FALSE,"no rhotic",FALSE,TRUE,NA
"Romanian","ron","ron","smooth","lins","yes","CLICS",46.39,24.23,"Indo-European","Italic-Celtic","Europe","W and SW Eurasia",-6.9,FALSE,"trill",FALSE,TRUE,NA
"Bashkir","bak","bak","smooth","ʃɯma","yes","CLICS",53.6,56.56,"Turkic","Common Turkic","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Tatar","tat",NA,"smooth","ʃoma","yes","CLICS",55,50,"Turkic","Common Turkic","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"NA"
"Chuvash","chv","chv","smooth","ˈtakər","yes","CLICS",55.49,47.16,"Turkic","Bulghar (aka Oghur)","Inner Asia","N-C Asia",-6.9,FALSE,"trill",TRUE,FALSE,"trilled"
"Sakha","sah","sah","smooth","kɯlaːkːaj","yes","CLICS",62,130,"Turkic","Common Turkic","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Kalmyk","xal",NA,"smooth","tʰeɡʃɛ","yes","CLICS",46.57,45.32,"Mongolic",NA,"Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Kalmyk","xal",NA,"smooth","tʰiɲɡɛr","yes","CLICS",46.57,45.32,"Mongolic",NA,"Inner Asia","N-C Asia",-6.9,FALSE,"trill",TRUE,FALSE,"trilled"
"Buryat","bua",NA,"smooth","mɛliɡɛr","yes","CLICS",51.83,107.6,"Mongolic",NA,"Inner Asia","N-C Asia",-6.9,FALSE,"trill",TRUE,TRUE,"trilled"
"Buryat","bua",NA,"smooth","mɛlʃɛɡɛr","yes","CLICS",51.83,107.6,"Mongolic",NA,"Inner Asia","N-C Asia",-6.9,FALSE,"trill",TRUE,TRUE,"trilled"
"Evenki","evn",NA,"smooth","naptama","yes","CLICS",65.75,105.3,"Tungusic","Northern Tungusic","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Evenki","evn",NA,"smooth","naptakaːn","yes","CLICS",65.75,105.3,"Tungusic","Northern Tungusic","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Manchu","mnc","mnc","smooth","nilukʰan","yes","CLICS",47.31,126.56,"Tungusic","Southern Tungusic","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"other"
"Nanai","gld","gld","smooth","nəjə̃ːn","yes","CLICS",48.43,134.8,"Tungusic","Central Tungusic","N Coast Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Nanai","gld","gld","smooth","bi̟ldɔ-bi̟ldɔ_biː","yes","CLICS",48.43,134.8,"Tungusic","Central Tungusic","N Coast Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Northern Yukaghir","ykg","ykg","smooth","mojeːm","yes","CLICS",69,155,"Yukagir",NA,"N Coast Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,FALSE,"trilled"
"Southern Yukaghir","yux","yux","smooth","ɲid͡ʒiloː","yes","CLICS",65.75,150.83,"Yukagir",NA,"N Coast Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Southern Yukaghir","yux","yux","smooth","olχinmeː","yes","CLICS",65.75,150.83,"Yukagir",NA,"N Coast Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Itelmen","itl","itl","smooth","iɬχlaχ","yes","CLICS",56.78,156.91,"Chukchi-Kamchatkan","Kamchatkan","N Coast Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Hokkaido Ainu","ain","ain","smooth","ɾaɾak","no","CLICS",43.63,142.46,"Ainu",NA,"N Coast Asia","N-C Asia",-6.9,FALSE,"no trill",TRUE,FALSE,"other"
"Japanese","jpn","jpn","smooth","näme̞ɾäkänä","no","CLICS",35,135,"Japanese",NA,"N Coast Asia","N-C Asia",-6.9,FALSE,"no trill",TRUE,FALSE,"other"
"Kannada","kan","kan","smooth","n̪əja","no","CLICS",13.59,76.12,"Dravidian","South Dravidian","Indic","S/SE Asia",-6.9,FALSE,"no trill",FALSE,FALSE,"trilled"
